Reference,Equipment
147,"HP Comp, 40bar,Ingersollrand,20HP-3"
148,"HP Comp, 40bar,Ingersollrand,20HP-4"
149,"Air Driyer-01, Boge"
150,"Air Driyer-02, Boge"
151,"Air Driyer SI-300DW, Summit"
152,"Air Driyer SI-300DW, Summit"
153,Borewell 1 Panel
154,Borewell 2 Panel
155,Borewell 3 Panel
156,Borewell 4 Panel
157,Borewell 5 Panel
158,Borewell 6 Panel
159,Chiller 225 TR (Utility Block)
160,Chiller 225 TR (Utility Block)
161,Chiller 600 TR (Utility Block)
162,Chiller 600 TR (Utility Block)
163,Chiller 600 TR (Utility Block)
164,Chiller 600 TR (Utility Block)
165,Chiller 600 TR (Utility Block)
166,"11kV HT Panel, solar, SS (4Nos.)"
167,AHU-01 (Ph1 N/W 1st Flr.)
168,AHU-02 (Ph1 N/W 1st Flr.)
169,AHU-03 (Ph1 N/W 1st Flr.)
170,AHU-04 (Ph1 N/W 1st Flr.)
171,AHU-05 (Ph1 N/W 1st Flr.)
172,AHU-06 (Ph1 N/W 1st Flr.)
173,AHU-07 (Ph1 N/W 1st Flr.) 
174,AHU-08 (Ph1 N/W 1st Flr.) 
175,AHU-01 (Ph1 S/W 1st Flr.)
176,AHU-02 (Ph1 S/W 1st Flr.)
177,AHU-03 (Ph1 S/W 1st Flr.)
178,AHU-04 (Ph1 S/W 1st Flr.)
179,AHU-05 (Ph1 S/W 1st Flr.)
180,AHU-06 (Ph1 S/W 1st Flr.)
181,AHU-07 (Ph1 S/W 1st Flr.) 
182,AHU-08 (Ph1 S/W 1st Flr.)
183, VAHU-01 (Ph1 N/W UPS room) 
184,VAHU-02 (Ph1 N/W UPS Room)
185,VAHU-01 (Ph1 S/W UPS Room) 
186,VAHU-02 (Ph1 S/W UPS Room)
187,AHU-01 (Ph2 N/W 1st Flr.)
188,AHU-02 (Ph2 N/W 1st Flr.)
189,AHU-03 (Ph2 N/W 1st Flr.)
190,AHU-04 (Ph2 N/W 1st Flr.)
191,AHU-05 (Ph2 N/W 1st Flr.)
192,AHU-06 (Ph2 N/W 1st Flr.)
193,AHU-07 (Ph2 N/W 1st Flr.) 
194,AHU-08 (Ph2 N/W 1st Flr.)
195,Process Ex. Panel 1(Ph2 N/W 1st Flr.)
196,Process Ex. Panel 2(Ph2 N/W 1st Flr.)
197,Process Ex. Panel 3(Ph2 N/W 1st Flr.)
198,Process Ex. Panel 4(Ph2 N/W 1st Flr.)
199,Auxilary fan control Panel (Ph2 N/W 1st Flr.)
200,Treated Fresh Air unit (TFA) (Ph2 N/W 1st Flr.)
201,AHU-Ph-2 F/F for Data Room
202,AHU-01 (Ph2 S/W 1st Flr.)
203,AHU-02 (Ph2 S/W 1st Flr.)
204,AHU-03 (Ph2 S/W 1st Flr.)
205,AHU-04 (Ph2 S/W 1st Flr.)
206,AHU-05 (Ph2 S/W 1st Flr.)
207,AHU-06 (Ph2 S/W 1st Flr.)
208,AHU-07 (Ph2 S/W 1st Flr.) 
209,AHU-08 (Ph2 S/W 1st Flr.)
210,Process Ex. Panel 1 (Ph2 S/W 1st Flr.)
211,Process Ex. Panel 2(Ph2 S/W 1st Flr.)
212,Process Ex. Panel 3(Ph2 S/W 1st Flr.)
213,Process Ex. Panel 4(Ph2 S/W 1st Flr.)
214,Treated Fresh Air unit (TFA)
215,"66kV & DG Room (RPDB,UPSDB, LDB, ELDB)"
216,"Utility (RPDB,UPSDB,LDB,ELDB)"
217,"Pump Room (RPDB,UPSDB,LDB,ELDB)"
218,"Chemical Store Room (RPDB,UPSDB,LDB,ELDB)"
219,"Kitchen Elec. Room (RPDB,UPSDB,LDB,ELDB)"
220,"Gate2&3 Area (RPDB,UPSDB,LDB,ELDB)"
221,"Ph-1 S/W DBs (RPDB,UPSDB,LDB,ELDB)"
222,"Ph-1 N/W DBs(RPDB,UPSDB,LDB,ELDB)"
223,"Log Area N /W & S/W(RPDB,UPSDB,LDB,ELDB)"
224,"Ph-2 N/W DBs(RPDB,UPSDB,LDB,ELDB)"
225,"Ph-2 S/W DBs(RPDB,UPSDB,LDB,ELDB)"
226,"TCT (RPDB,UPSDB,LDB,ELDB)"
227,"HT,ST, STP & AETP (RPDB,UPSDB,LDB,ELDB)"
228,"Solar Plant (RPDB,UPSDB,LDB,ELDB)"
229,"Battery charger 110V,DC 66kV Panel room (Uni-insta)"
230,UPS 10 KVA ABB 1 DG room UPS 
231,UPS 10 KVA ABB 2 DG room UPS 
232,"Battery charger, 24 V DC 35A  DG room, (Naren)"
233,"Battery charger, 24 V DC 35A, DG room (Naren)"
234,"Battery charger,24 V DC 50A , DG room (Naren) X 4"
235,"Battery charger,110 V 30A FCBC , DG room (Naren)"
236,24 V DC Battery charger (Utility)
237,UPS 60 kVA Supreme (Utility)
238,UPS 60 kVA Supreme (Utility)
239,Inverter 10kVA APC (Utility)
240,"Dynamic UPS 625kVA, Piller (PH-1 N/W)"
241,"Dynamic UPS 625kVA, Piller (PH-1 S/W)"
242,Inverter 30kVA APC PH-1 N/W UPS Room
243,UPS 60kVA ABB PH-1 N/W UPS Room (Off. area)
244,UPS 60kVA ABB PH-1 N/W UPS Room (Prod. area)
245,UPS 160kVA ABB PH-1 N/W UPS Room (Prod. area)
246,"24V,25A DC Battery charger (Naren) PH-1 N/W SS"
247,Inverter 30kVA APC PH-1 S/W UPS Room
248,UPS 60kVA ABB PH-1 S/W UPS Room (Off. area)
249,UPS 100kVA ABB PH-1 S/W UPS Room (Prod. area)
250,UPS 100kVA  Eaton PH-1 S/W UPS Room (Prod. area)
251,UPS 60kVA PH-1 F/F Off. Area
252,UPS 60kVA PH-1 F/F Off. Area
253,"24V,25A DC Battery charger (Naren) PH-1 S/W SS"
254,UPS 6KVA Off. Area- 01 (Kitchen)
255,UPS 10KVA Inverter- 02 (Kitchen)
256,UPS 125kVA Eaton PH-2 N/W S/S 
257,UPS 125kVA Eaton  PH-2 S/W S/S 
258,UPS 40kVA Vertiv For HT Shop
259,UPS 50kVA Eaton PH-2 F/F South
260,UPS 60kVA ABB Gate2 UPS Room
261,UPS 6kVA Emerson LOG Area Quaratine room
262,UPS 20kVA EatonTCT Area
263,Battery Bank of UPS 10 KVA ABB 1 DG room
264,Battery Bank of UPS 10 KVA ABB 2 DG room  
265,Battery Bank of UPS 60 kVA Supreme 1 (Utility)
266,Battery Bank of UPS 60 kVA Supreme 2 (Utility)
267,Battery Bank Inverter 10kVA APC (Utility)
268,Battery Bank of Inverter 30kVA APC PH-1 N/W 
269,Battery Bank of UPS 60kVA ABB PH-1 N/W (Off. area)
270,Battery Bank of UPS 60kVA ABB PH-1 N/W (Prod. area)
271,Battery Bank of UPS 160kVA ABB PH-1 N/W (Prod. area)
272,Battery Bank of Inverter 30kVA APC PH-1 S/W
273,Battery Bank of UPS 60kVA ABB PH-1 S/W (Off. area)
274,Battery Bank of UPS 100kVA ABB PH-1 S/W (Prod. area)
275,Battery Bank of UPS 100kVA  Eaton PH-1 S/W (Prod. area)
276,Battery Bank of UPS 60kVA PH-1 F/F Off. Area
277,Battery Bank of UPS 60kVA PH-1 F/F Off. Area
278,Battery Bank of UPS 6KVA Off. Area- 01 (Kitchen)
279,Battery Bank of UPS 10KVA Inverter- 02 (Kitchen)
280,Battery Bank of UPS 125kVA Eaton PH-2 N/W S/S 
281,Battery Bank of UPS 125kVA Eaton  PH-2 S/W S/S 
282,Battery Bank of UPS 40kVA Vertiv For HT Shop
283,Battery Bank of UPS 20kVA Eaton PH-2 F/F South
284,Battery Bank of UPS 60kVA ABB Gate2 UPS Room
285,Battery Bank of UPS 6kVA Emerson LOG Area South
286,Battery Bank of UPS TCT Area
287,Borewell 7 Panel
288,Borewell 8 Panel
289,Solar Plant Tr-1 3000kVA
290,Solar plant Tr-2 3000kVA
291,Earth Pits
292,Thermography
293,LUX Level
294,VANJAX -275K
295,VANJAX-282C
296,Mobile Comp old HT shop
297,Main LT Feeders (Pump Room)
298,Main LT Feeders ( New Pump Room)
299,Rain water panel (DG yard)
300,Main LT Feeders (Chemical Store Room )
301,Kitchen Area Exhaust Panel & Fresh Air Panel 5no
